,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Building140.47111183278224_percentage,Building_percentage
0,Abbotsford,68 Studley St,2,h,880000.0,SS,Jellis,03-09-2016,2.5,3067.0,2.0,1.0,1.0,126.0,50.497461029759094,,Yarra,-37.8014,144.9958,Northern Metropolitan,4019.0,,
1,Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,03-12-2016,2.5,3067.0,2.0,1.0,1.0,202.0,80.95624704770903,,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,,
2,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,04-02-2016,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,0.5064102564102564,0.5064102564102564
3,Abbotsford,18/659 Victoria St,3,u,880000.0,VB,Rounds,04-02-2016,2.5,3067.0,3.0,2.0,1.0,0.0,0.0,,Yarra,-37.8114,145.0116,Northern Metropolitan,4019.0,,
4,Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,04-03-2017,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,1.1194029850746268,1.1194029850746268
5,Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,04-03-2017,2.5,3067.0,3.0,2.0,1.0,94.0,37.67270902220123,,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,,
6,Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,04-06-2016,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,1.1833333333333333,1.1833333333333333
7,Abbotsford,16 Maugie St,4,h,880000.0,SN,Nelson,06-08-2016,2.5,3067.0,3.0,2.0,2.0,400.0,220.0,2006.0,Yarra,-37.7965,144.9965,Northern Metropolitan,4019.0,0.55,0.55
8,Abbotsford,53 Turner St,2,h,880000.0,S,Biggin,06-08-2016,2.5,3067.0,4.0,1.0,2.0,201.0,80.55547354747284,1900.0,Yarra,-37.7995,144.9974,Northern Metropolitan,4019.0,,
9,Abbotsford,99 Turner St,2,h,880000.0,S,Collins,06-08-2016,2.5,3067.0,3.0,2.0,1.0,202.0,80.95624704770903,1900.0,Yarra,-37.7996,144.9989,Northern Metropolitan,4019.0,,
